id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Cipher,Night Ledger,hip-hop,confident,0.74,92,0.58,0.81,0.19
12,Winter Nocturne,Aria Vale,classical,melancholic,0.22,64,0.28,0.21,0.95
13,Iron Horizon,Crimson Forge,metal,aggressive,0.96,168,0.39,0.47,0.03
14,Island Lanterns,Tide Bloom,reggae,sunny,0.61,86,0.83,0.77,0.42
15,Dust Trail Radio,Cedar Run,country,nostalgic,0.49,102,0.67,0.59,0.63
16,Midtown Blue,Harbor Line,blues,introspective,0.36,74,0.44,0.46,0.88
17,Neon Rooftop,Glass Circuit,house,euphoric,0.88,124,0.79,0.90,0.11
18,Tunnel Pulse,Static District,techno,hypnotic,0.91,132,0.46,0.84,0.07
19,Rushline Zero,Vector Drift,drum and bass,triumphant,0.94,174,0.62,0.76,0.05
20,Firelight Letters,Pine Arcade,folk,dreamy,0.33,76,0.64,0.41,0.91
21,Afterglow Call,Velvet Coast,r&b,sensual,0.57,98,0.72,0.74,0.36
22,Golden Hour Vinyl,June Meridian,soul,warm,0.52,94,0.80,0.69,0.54
23,Concrete Anthem,Sidewalk Riot,punk,defiant,0.89,156,0.55,0.68,0.09
24,Starlight Arcade,Luna Prism,k-pop,playful,0.86,128,0.88,0.92,0.14
25,Lagos Sunrise,Kora Avenue,afrobeat,uplifting,0.79,110,0.85,0.87,0.23
26,Ruby Steps,Sol y Mar,flamenco,passionate,0.69,116,0.61,0.72,0.48
27,Cafe do Mar,Blue Palm,bossa nova,serene,0.41,82,0.76,0.65,0.84
28,Aurora Lift,Phase Harbor,trance,expansive,0.83,138,0.71,0.79,0.18
